Naive B cells	Non-switched memory B cells	Exhausted B cells	Switched memory B cells	Plasmablasts
RP9P	ASF1A	ROR2	MIAT	CD38
RLIMP1	AC009127.1	ZNF683	SSPN	SLAMF7
LINC02009	TRIM34	RPL7P23	ITGA3	FNDC3B
LINC01448	MSTO2P	UBXN10	DAAM1	TNFRSF17
AL109914.1	TRAF5	RANP3	HIPK2	PRDM1
AC040975.1	SHMT2	RF02158	UBE2N	FKBP11
AC006213.4	TLK1	AC002366.1	AL121835.2	CDC6
AC004217.1	TMEM109	AC074131.1	GTSF1	ITM2C
C8orf88	GPHA2	HSPB1	PARP3	MAN1A1
TCL1A	MIR1910	MEF2C-AS1	ZFAND6	TRIB1
TCL6	CHGA	SYT11	RALGDS	PDIA5
DBNDD1	MIR1278	BBS5	NLK	PDIA4
AL139020.1	KIR2DP1	MFGE8	PREX1	CNKSR1
IL21R	VWF	EVA1C	SNAP47	MANEA
IL4R	AC139769.3	AC021945.1	RAPSN	GLDC
ZBTB16	KRT18P52	VASH1-AS1	NIP7	CRELD2
SATB1	AL590385.1	PDP2	SYNPO	PLK1
AP001056.1	RNA5SP464	ZNF449	NAAA	PSAT1
RN7SKP110	SNORD116-18	SDC3	BLK	HSP90B1
PCDH9	RNU7-151P	FGF2	CTSA	SDF2L1
YBX3	RNA5SP297	AL590867.2	TUBB	AC242376.2
CD200	MIR6739	MIR593	WDR92	CEP128
CASP17P	MCFD2P1	MIR920	Z99774.1	TYMS
GCNT1	AP005208.1	ULK4P1	ARHGDIA	SEMA4A
CLCN4	RNU7-179P	RNU7-49P	LINC02012	MZB1
CDHR3	AC020914.2	AC092919.2	MRPL42	SLC1A4
TAPT1	AC087741.2	FTH1P5	FAM78B	BIK
TREML2	TRBV5-6	AC093627.7	SDR16C5	ZWINT
LIX1	AC022493.1	SHISA8	LINC01825	NUCB2
SKAP1	RNA5SP392	SNRK-AS1	AC104170.1	BUB1
BACH2	AL117187.1	RN7SKP239	ACSM5	ELL2
PPFIBP1	RNU1-77P	NLRP4	OR1J1	AC091304.3
L3MBTL4	RPL23AP67	AL590235.1	LINC01046	RRBP1
IKZF2	AP000346.4	RNU6-1011P	LINC02520	UAP1
APBB2	KLK4	PCDHGC3	MORF4L1P3	CHAC2
GALNT6	AC026271.2	FGD4	TRAJ48	AC135068.8
SORL1	AC091544.6	ARL4D	AC008429.3	KIFC1
APLP2	ATP6V1G3	TSHZ2	RNU2-24P	WFS1
BMP3	LINC01935	MPZL1	RPS26P21	PPIB
ZNF135	CNTN4-AS1	COX17	TRAJ40	SPN
MAGED4	RPS26P11	AC008033.3	RNU4-30P	HSPA5
CD5	OR52V1P	MS4A7	TRAJ7	CCR9
PLPP5	PPP1R2P4	TATDN2P2	RNA5SP247	PYCR1
FCER2	SMIM17	SMG7-AS1	MIR6799	MYDGF
DPPA4	AL589987.1	ZYG11A	RNU6-1010P	SSR3
P2RX1	AC008878.4	IFT27	RNU6-787P	LIME1
TBXA2R	AC007192.1	ECT2L	MIR4439	ABCB9
MAGED4B	RN7SL87P		TRAJ26	SEC11C
HS3ST1	AC093698.1		TRAJ16	GGH
ZNF667	AP004550.1		RNU6-1169P	HID1
ARMH1	C2orf73		AL022401.1	TPX2
AL161781.2	YBX1P5		RNU6-26P	DNAJB11
UXS1	AC091729.1		AC106800.4	BIRC5
ATP10D	AC015712.4		RNU6-1098P	AC106882.1
MIR181A1HG	AC078788.1		SNORA79B	MANF
ERVH-1	AC007849.2		AC006435.3	CADM1
FCRL1	LINC01523		FUNDC2P4	KCNA2
OLMALINC	AP000426.1		AC119751.2	VDR
SH3BP2	AC018731.1		RNU6ATAC35P	HYOU1
CD72	AL772337.3		SNORA29	PDIA6
CLEC2B	LINC02235		RF00091	LILRB4
AKAP7	WFDC21P		MT2P1	ENAM
NCK2	RNU2-6P		AC008764.5	LMAN1
LAIR1	LINC01857		AL445669.2	MIR4435-2HG
MPPED2	AP005019.1		AC013467.2	SLC38A5
BTLA	RNU6-314P		AC109458.1	NET1
FOS	MYO1A		AC017101.1	HSPA13
NFATC3	AC016822.1		AC092118.2	SEC24A
AC020978.3	AC011742.3		AP003171.1	SHCBP1
MATN1-AS1	LINC02040		AP000820.1	CCNB2
LINC01684	SFR1P1		EPGN	SSR4
ENG	MYH16		OR1Q1	LZTFL1
PDE7B	LINC02474		AP000238.1	CASP3
Mar-03	AC008750.1		AC104849.1	CYTOR
MYO1E	ITCH-IT1		AC104758.4	SELENOS
PHACTR1	CCDC24		RBPMS-AS1	STT3A
AL589935.1	PCCA-AS1		AP001005.3	PRDX4
AL034397.3	AC020661.2		H3F3BP1	MTHFD2
ZNF677	AC093010.2		TRDV1	DERL3
ATP6V0A1	CHDH		TBX20	BMP8B
AC246787.2	LRRK2		BCRP1	RPN1
MTMR10	TLR9		AC009362.1	CD59
AL031432.2	GPT2		ATP5MC2P1	SEC61A1
TCTN1	RHOBTB3		AC004593.1	NDFIP2
EIF2AK3-DT	CBLB		TSGA10IP	SLC7A5
ABCA1	NLRC5		AL512624.2	WIPI1
SHISAL2A	AC110792.2		OR4V1P	IDH2
AP001057.1	MGME1		AC015936.1	TRAM2
SMAD3	DOCK10		AC092142.1	SIL1
SCGB3A2	AC022558.2		HMGB1P44	B4GALT3
